م,اسم الإدارة,اسم المحطة,مجري المصرف,كم,مجري الترعة,كم.1,الحالة تعمل /معطلة,عدد الوحدات بالمحطة,تصرف الوحدة م3/ث,عدد الوحدات العاملة,عدد ساعات التشغيل اليومي,عدد ايام التشغيل في الاسبوع,تصرف المحطة    م3/اسبوع,اجمالي االتصرف الشهري,ملاحظات,Unnamed: 16,Unnamed: 17
1,الإدارة العامة لري دمياط,الوسطانى,نمرة 1 لأسفل,15,الوسطانى,نهاية الترعة,0.6,,1,1,10.5,73.5,158760.0,680400.0,,,
2,الإدارة العامة لري دمياط,رأس الخليج,نمرة 1 لأسفل,25,رأس الخليج,نهاية الترعة,0.6,,1,1,2,14,30240.0,129600.0,,,
3,الإدارة العامة لري دمياط,البنك,نمرة 1 لأسفل,18,البنك,نهاية الترعة,0.55,,0.5,1,2.5,17.5,17325.0,74250.0,,,
4,الإدارة العامة لري دمياط,الأجزاء,السرو الأسفل,6,الأجزاء,نهاية الترعة,0.6,,0.5,1,3,21,22680.0,97200.0,,,
5,الإدارة العامة لري دمياط,السبعمائة,السرو الأسفل,8.5,السبعمائة,نهاية الترعة,0.65,,0.5,1,4.5,31.5,36855.0,157950.0,,,
6,الإدارة العامة لري دمياط,الكاشف,بحر الغيط,2.2,الكاشف,نهاية الترعة,0.6,,0.5,1,2,14,15120.0,64800.0,,,
7,الإدارة العامة لري دمياط,الحصار,مصرف العطوى,11,الحصار,نهاية الترعة,0.55,,0.5,1,0.5,3.5,3465.0,14850.0,,,
8,الإدارة العامة لري دمياط,الغوابين,مصرف العطوى,5,الغوابين,نهاية الترعة,0.6,,0.5,1,5,35,37800.0,162000.0,,,
9,الإدارة العامة لري دمياط,البطرساية,مصرف الهرنة,7.5,البطرساية,نهاية الترعة,0.4,,0.5,1,0,0,0.0,0.0,,,
10,الإدارة العامة لري دمياط,كرم,مصرف الهرنة,5,كرم,كيلو 2500,0.55,,0.5,1,2.5,17.5,17325.0,74250.0,,,
11,الإدارة العامة لري دمياط,ميت الخولى,السيالة القديم,2.95,ميت الخولى,نهاية الترعة,0.65,,1,1,3,21,49140.0,210600.0,,,
12,الإدارة العامة لري دمياط,الشوكة,مصرف الهرنه,1,الشوكة,نهاية الترعة,0.7,,0.5,1,1.5,10.5,13230.0,56700.0,,,
13,الإدارة العامة لري دمياط,البنك الجديدة,نمرة 1 لأسفل,4.5,البنك,نهاية الترعة,0.8,,1,1,4.5,31.5,90720.0,388800.0,,,
14,الإدارة العامة لري دمياط,الشرقية,كفر البطيخ,10,البلامون,نهاية الترعة,0.8,,0.5,1,1,7,10080.0,43200.0,,,
15,الإدارة العامة لري دمياط,الحدود,السياله العمومى,6,الحدود,كيلو3,0.8,,0.5,1,0,0,0.0,0.0,,,
16,الإدارة العامة لري السلام غرب,محطة  فارسكور الجديدة,مصرف العطوى,,ترعة السلام,,0.7,,5,4,24,,3655000.0,14620000.0,,,
17,الإدارة العامة لري السلام غرب,محطة السرو الأسفل القديمة,مصرف السرو الأسفل,,ترعة السلام,,0.7,,8,4,24,,10002500.0,40010000.0,,,
18,الإدارة العامة لري السلام غرب,محطة  السرو الأسفل الجديدة,مصرف السرو الأسفل,,ترعة السلام,,0.7,,9,7,72,,0.0,,,,
19,الإدارة العامة لري السلام غرب,محطة خلط السلام رقم (3),مصرف العطوى,,ترعة السلام,,0.7,,16.5,9,48,,16515000.0,66060000.0,,,
20,الإدارة العامة لرى زفتى,كفر الديب,القرنيين,ك 5.180بر ايسر على الرياح العباسى,الرياح العباسى,,2,,3.5,2,12,,1620000.0,6480000.0,,,
21,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط السلامونية (1),مصرف جناج,ك 1.400,ترعة السلامونية,ك 16.00,تعمل,1,0.5 م3 / ث,1,6.5 ساعات,7 ايام,81900.0,327600.0,هندسة بسيون,,
22,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط السلامونية (2),قونه ك 1.600,ك 1.600,ترعة السلامونية,ك 17.39,تعمل,1,1 م3 / ث,1,7 ساعات,7 ايام,176400.0,705600.0,,,
